Sample in Buffer	Sample in Window	adc_ch0
1295	1295	-23409	
1296	1296	-16891	
1297	1297	-6855	
1298	1298	4917	
1299	1299	15241	
1300	1300	22619	
1301	1301	24981	
1302	1302	21840	
1303	1303	13715	
1304	1304	2469	
1305	1305	-9228	
1306	1306	-19018	
1307	1307	-24326	
1308	1308	-24275	
1309	1309	-18887	
1310	1310	-9429	
1311	1311	1898	
1312	1312	13070	
1313	1313	21176	
1314	1314	24913	
1315	1315	23124	
1316	1316	16150	
1317	1317	5469	
1318	1318	-6479	
1319	1319	-16874	
1320	1320	-23410	
1321	1321	-24821	
1322	1322	-20805	
1323	1323	-12163	
1324	1324	-881	
1325	1325	10213	
1326	1326	19485	
1327	1327	24484	
1328	1328	24065	
1329	1329	18275	
1330	1330	8199	
1331	1331	-3567	
1332	1332	-14547	
1333	1333	-22266	
1334	1334	-25003	
1335	1335	-22238	
1336	1336	-14547	
1337	1337	-3860	
1338	1338	7671	
1339	1339	17494	
1340	1340	23724	
1341	1341	24708	
1342	1342	20210	
1343	1343	11180	
1344	1344	-439	
1345	1345	-11979	
1346	1346	-20688	
1347	1347	-24844	
1348	1348	-23422	
1349	1349	-16885	
1350	1350	-6829	
1351	1351	4837	
1352	1352	15342	
1353	1353	22647	
1354	1354	24987	
1355	1355	21835	
1356	1356	13673	
1357	1357	2499	
1358	1358	-9375	
1359	1359	-18909	
1360	1360	-24332	
1361	1361	-24298	
1362	1362	-19021	
1363	1363	-9587	
1364	1364	1923	
1365	1365	12987	
1366	1366	21246	
1367	1367	24917	
1368	1368	23134	
1369	1369	16101	
1370	1370	5490	
1371	1371	-6430	
1372	1372	-16930	
1373	1373	-23466	
1374	1374	-24814	
1375	1375	-20707	
1376	1376	-12120	
1377	1377	-980	
1378	1378	10343	
1379	1379	19505	
1380	1380	24460	
1381	1381	24111	
1382	1382	18419	
1383	1383	8401	
1384	1384	-3463	
1385	1385	-14553	
1386	1386	-22291	
1387	1387	-25005	
1388	1388	-22179	
